province;red;green;blue;x;x
1;255;255;0;;A
2;132;0;0;;B
3;197;255;255;;C
4;189;255;255;;D
5;181;255;255;;E
6;74;255;255;;F
7;66;255;255;;G
8;58;255;255;;H
9;49;255;255;;I
10;41;255;255;;J
11;33;255;255;;K
12;25;255;255;;L
13;255;190;132;;M
14;189;190;0;;N
15;115;190;255;;O
16;107;190;99;;P
17;132;81;156;;Q
18;33;190;255;;R
19;25;190;255;;S
20;214;125;247;;T
21;206;125;247;;U
22;197;125;90;;V
23;173;125;82;;W
24;165;125;82;;X
25;123;125;0;;Y
26;99;61;41;;Z
27;90;61;41;;AA
28;74;61;123;;AB
29;58;61;0;;AC
30;33;61;33;;AD
31;156;101;74;;AE
32;132;101;66;;AF
33;255;251;0;;AG
34;247;251;0;;AH
35;123;219;255;;AI
36;255;186;132;;AJ
37;247;186;123;;AK
38;189;186;0;;AL
39;148;117;230;;AM
40;156;117;74;;AN
41;107;186;255;;AO
42;99;186;255;;AP
43;206;121;239;;AQ
44;189;121;82;;AR
45;165;121;82;;AS
46;148;121;239;;AT
47;66;53;99;;AU
48;123;121;0;;AV
49;90;57;41;;AW
50;74;57;115;;AX
51;66;121;66;;AY
52;58;57;0;;AZ
53;247;247;0;;BA
54;82;69;140;;BB
55;247;182;123;;BC
56;181;182;0;;BD
57;107;182;90;;BE
58;99;182;255;;BF
59;132;81;148;;BG
60;197;117;230;;BH
61;189;117;82;;BI
62;181;117;82;;BJ
63;165;117;82;;BK
64;156;117;82;;BL
65;148;117;239;;BM
66;140;117;230;;BN
67;115;117;0;;BO
68;82;53;33;;BP
69;66;117;58;;BQ
70;58;53;0;;BR
71;49;53;0;;BS
72;33;53;25;;BT
73;239;178;123;;BU
74;181;178;0;;BV
75;90;178;255;;BW
76;197;113;230;;BX
77;189;113;222;;BY
78;181;113;82;;BZ
79;173;113;74;;CA
80;156;113;74;;CB
81;148;113;74;;CC
82;140;113;222;;CD
83;115;113;0;;CE
84;74;49;33;;CF
85;66;113;58;;CG
86;58;49;99;;CH
87;49;49;0;;CI
88;239;239;0;;CJ
89;206;239;255;;CK
90;197;239;255;;CL
91;132;239;123;;CM
92;74;138;74;;CN
93;239;174;115;;CO
94;140;138;0;;CP
95;173;174;0;;CQ
96;99;174;90;;CR
97;82;174;255;;CS
98;74;174;255;;CT
99;189;109;222;;CU
100;181;109;214;;CV
101;173;109;74;;CW
102;165;109;74;;CX
103;148;109;74;;CY
104;140;109;222;;CZ
105;132;109;214;;DA
106;107;109;0;;DB
107;74;45;33;;DC
108;66;45;33;;DD
109;58;45;90;;DE
110;49;45;0;;DF
111;41;45;0;;DG
112;25;45;25;;DH
113;239;235;0;;DI
114;189;235;255;;DJ
115;181;235;255;;DK
116;132;235;115;;DL
117;230;170;115;;DM
118;173;170;0;;DN
119;165;170;0;;DO
120;99;170;82;;DP
121;74;170;255;;DQ
122;66;170;255;;DR
123;181;105;214;;DS
124;173;105;206;;DT
125;165;105;74;;DU
126;140;105;74;;DV
127;132;105;206;;DW
128;107;105;0;;DX
129;58;105;58;;DY
130;99;77;49;;DZ
131;66;40;25;;EA
132;49;40;82;;EB
133;41;40;0;;EC
134;197;194;0;;ED
135;230;231;0;;EE
136;206;231;255;;EF
137;197;231;255;;EG
138;173;231;255;;EH
139;165;231;255;;EI
140;132;231;115;;EJ
141;156;93;189;;EK
142;255;166;115;;EL
143;148;89;173;;EM
144;222;166;115;;EN
145;165;166;0;;EO
146;115;93;181;;EP
147;58;166;255;;EQ
148;173;101;206;;ER
149;165;101;74;;ES
150;156;101;66;;ET
151;140;101;66;;EU
152;132;101;206;;EV
153;123;101;197;;EW
154;99;101;0;;EX
155;58;101;49;;EY
156;49;45;49;;EZ
157;58;36;25;;FA
158;41;36;74;;FB
159;33;36;0;;FC
160;25;36;16;;FD
161;197;227;255;;FE
162;189;227;255;;FF
163;156;227;255;;FG
164;132;227;115;;FH
165;33;36;33;;FI
166;255;162;115;;FJ
167;247;162;107;;FK
168;222;162;107;;FL
169;214;162;107;;FM
170;165;162;0;;FN
171;74;61;115;;FO
172;90;162;82;;FP
173;49;162;255;;FQ
174;165;97;189;;FR
175;156;97;66;;FS
176;148;97;66;;FT
177;132;97;66;;FU
178;123;97;189;;FV
179;99;97;0;;FW
180;66;53;107;;FX
181;58;97;49;;FY
182;49;32;25;;FZ
183;41;32;66;;GA
184;33;32;0;;GB
185;222;223;0;;GC
186;181;223;255;;GD
187;148;223;255;;GE
188;140;223;255;;GF
189;123;223;115;;GG
190;247;158;107;;GH
191;239;158;107;;GI
192;214;158;107;;GJ
193;156;158;0;;GK
194;49;158;255;;GL
195;41;158;255;;GM
196;156;93;181;;GN
197;148;93;66;;GO
198;140;93;66;;GP
199;132;93;66;;GQ
200;123;93;66;;GR
201;115;93;189;;GS
202;90;93;0;;GT
203;49;93;49;;GU
204;173;101;197;;GV
205;41;28;16;;GW
206;33;28;58;;GX
207;33;32;33;;GY
208;222;219;0;;GZ
209;214;219;0;;HA
210;181;219;255;;HB
211;173;219;255;;HC
212;132;219;255;;HD
213;123;219;107;;HE
214;41;40;41;;HF
215;239;154;107;;HG
216;66;57;107;;HH
217;206;154;107;;HI
218;156;154;0;;HJ
219;82;154;74;;HK
220;197;117;239;;HL
221;33;154;255;;HM
222;66;49;99;;HN
223;148;89;181;;HO
224;140;89;66;;HP
225;123;89;58;;HQ
226;115;89;181;;HR
227;107;89;173;;HS
228;90;89;0;;HT
229;49;89;41;;HU
230;33;24;16;;HV
231;25;24;25;;HW
232;214;215;0;;HX
233;165;215;255;;HY
234;123;215;107;;HZ
235;115;215;255;;IA
236;107;215;255;;IB
237;230;150;107;;IC
238;206;150;107;;ID
239;197;150;99;;IE
240;148;150;0;;IF
241;148;85;165;;IG
242;25;150;255;;IH
243;99;81;165;;II
244;189;85;82;;IJ
245;107;85;165;;IK
246;148;85;173;;IL
247;140;85;165;;IM
248;132;85;58;;IN
249;115;85;58;;IO
250;107;85;173;;IP
251;90;85;0;;IQ
252;82;85;0;;IR
253;49;85;41;;IS
254;123;97;197;;IT
255;165;97;197;;IU
256;239;174;123;;IV
257;230;146;99;;IW
258;222;146;99;;IX
259;214;210;0;;IY
260;206;210;0;;IZ
261;197;146;99;;JA
262;156;210;255;;JB
263;148;146;0;;JC
264;123;210;107;;JD
265;115;210;107;;JE
266;99;210;255;;JF
267;90;210;255;;JG
268;82;146;74;;JH
269;140;81;165;;JI
270;132;81;58;;JJ
271;123;81;58;;JK
272;107;81;58;;JL
273;99;81;156;;JM
274;82;81;0;;JN
275;49;81;41;;JO
276;41;81;41;;JP
277;16;16;0;;JQ
278;214;138;99;;JR
279;222;142;99;;JS
280;206;206;0;;JT
281;189;142;99;;JU
282;156;206;255;;JV
283;148;206;255;;JW
284;140;142;0;;JX
285;90;206;255;;JY
286;82;206;255;;JZ
287;132;77;148;;KA
288;123;77;49;;KB
289;115;77;49;;KC
290;107;77;49;;KD
291;99;77;156;;KE
292;90;77;148;;KF
293;140;109;214;;KG
294;74;77;0;;KH
295;41;77;41;;KI
296;197;125;82;;KJ
297;214;138;90;;KK
298;206;202;0;;KL
299;197;202;0;;KM
300;189;138;90;;KN
301;181;138;90;;KO
302;140;202;255;;KP
303;115;202;107;;KQ
304;74;202;255;;KR
305;66;202;255;;KS
306;115;73;49;;KT
307;99;73;49;;KU
308;90;73;140;;KV
309;132;77;156;;KW
310;74;73;0;;KX
311;115;73;140;;KY
312;90;73;148;;KZ
313;123;77;148;;LA
314;132;198;255;;LB
315;123;89;66;;LC
316;140;89;58;;LD
317;206;134;90;;LE
318;197;198;0;;LF
319;181;134;90;;LG
320;132;134;0;;LH
321;115;198;99;;LI
322;74;134;66;;LJ
323;58;198;255;;LK
324;49;198;255;;LL
325;148;69;66;;LM
326;107;69;49;;LN
327;90;69;49;;LO
328;82;69;132;;LP
329;66;69;0;;LQ
330;181;105;206;;LR
331;41;69;33;;LS
332;132;105;214;;LT
333;222;130;255;;LU
334;214;130;255;;LV
335;206;130;90;;LW
336;197;130;90;;LX
337;173;130;90;;LY
338;132;130;0;;LZ
339;123;194;255;;MA
340;74;130;66;;MB
341;49;194;255;;MC
342;41;194;255;;MD
343;33;194;255;;ME
344;99;65;41;;MF
345;82;65;132;;MG
346;74;65;123;;MH
347;66;65;0;;MI
348;230;0;0;;MJ
349;222;0;0;;MK
350;214;0;0;;ML
351;206;0;0;;MM
352;197;0;0;;MN
353;189;0;0;;MO
354;181;0;0;;MP
355;173;0;0;;MQ
356;165;0;0;;MR
357;156;0;0;;MS
358;148;0;0;;MT
359;140;0;0;;MU
360;132;0;99;;MV
361;123;0;0;;MW
362;115;0;0;;MX
363;107;0;0;;MY
364;99;0;0;;MZ
365;90;0;74;;NA
366;82;0;0;;NB
367;74;0;0;;NC
368;66;0;0;;ND
369;58;0;0;;NE
370;49;0;0;;NF
371;41;0;0;;NG
372;33;0;0;;NH
373;25;0;0;;NI
374;90;0;0;;NJ
